day,vpn,zapret
2017-01-01,0,0
2017-01-02,0,0
2017-01-03,0,0
2017-01-04,0,0
2017-01-05,0,0
2017-01-06,0,0
2017-01-07,0,0
2017-01-08,0,0
2017-01-09,0,0
2017-01-10,0,0
2017-01-11,0,0
2017-01-12,0,0
2017-01-13,0,0
2017-01-14,0,0
2017-01-15,0,0
2017-01-16,0,2
2017-01-17,0,0
2017-01-18,0,0
2017-01-19,0,0
2017-01-20,0,0
2017-01-21,0,0
2017-01-22,0,0
2017-01-23,0,0
2017-01-24,0,0
2017-01-25,0,0
2017-01-26,0,0
2017-01-27,0,2
2017-01-28,0,0
2017-01-29,0,0
2017-01-30,0,0
2017-01-31,0,2
2017-02-01,0,0
2017-02-02,0,0
2017-02-03,0,0
2017-02-04,0,0
2017-02-05,0,0
2017-02-06,0,0
2017-02-07,0,0
2017-02-08,0,0
2017-02-09,0,0
2017-02-10,0,2
2017-02-11,0,0
2017-02-12,0,0
2017-02-13,0,0
2017-02-14,0,0
2017-02-15,0,0
2017-02-16,0,2
2017-02-17,0,7
2017-02-18,0,5
2017-02-19,0,2
2017-02-20,0,0
2017-02-21,0,0
2017-02-22,0,0
2017-02-23,0,2
2017-02-24,0,0
2017-02-25,0,0
2017-02-26,0,0
2017-02-27,0,2
2017-02-28,0,0
2017-03-01,0,0
2017-03-02,0,0
2017-03-03,0,2
2017-03-04,0,0
2017-03-05,0,3
2017-03-06,0,2
2017-03-07,0,0
2017-03-08,0,0
2017-03-09,0,0
2017-03-10,0,0
2017-03-11,0,0
2017-03-12,0,0
2017-03-13,0,0
2017-03-14,0,0
2017-03-15,0,0
2017-03-16,0,0
2017-03-17,0,0
2017-03-18,0,0
2017-03-19,0,0
2017-03-20,0,0
2017-03-21,0,0
2017-03-22,0,0
2017-03-23,0,0
2017-03-24,0,0
2017-03-25,0,0
2017-03-26,0,3
2017-03-27,0,0
2017-03-28,0,0
2017-03-29,0,0
2017-03-30,0,0
2017-03-31,0,3
2017-04-01,0,0
2017-04-02,0,0
2017-04-03,0,0
2017-04-04,0,3
2017-04-05,0,0
2017-04-06,0,0
2017-04-07,0,2
2017-04-08,0,0
2017-04-09,0,3
2017-04-10,0,2
2017-04-11,0,0
2017-04-12,0,0
2017-04-13,0,0
2017-04-14,0,0
2017-04-15,0,0
2017-04-16,0,0
2017-04-17,0,0
2017-04-18,0,0
2017-04-19,0,0
2017-04-20,0,0
2017-04-21,0,0
2017-04-22,0,0
2017-04-23,0,0
2017-04-24,0,2
2017-04-25,0,0
2017-04-26,0,2
2017-04-27,0,0
2017-04-28,0,0
2017-04-29,0,0
2017-04-30,0,0
2017-05-01,0,0
2017-05-02,0,0
2017-05-03,0,0
2017-05-04,0,0
2017-05-05,0,0
2017-05-06,0,0
2017-05-07,0,0
2017-05-08,0,0
2017-05-09,0,0
2017-05-10,0,0
2017-05-11,0,0
2017-05-12,0,0
2017-05-13,0,3
2017-05-14,0,0
2017-05-15,3,0
2017-05-16,4,76
2017-05-17,26,25
2017-05-18,55,19
2017-05-19,100,17
2017-05-20,70,13
2017-05-21,53,6
2017-05-22,76,8
2017-05-23,54,4
2017-05-24,38,3
2017-05-25,45,3
2017-05-26,34,3
2017-05-27,27,3
2017-05-28,31,7
2017-05-29,30,5
2017-05-30,28,3
2017-05-31,32,4
2017-06-01,22,4
2017-06-02,29,3
2017-06-03,33,0
2017-06-04,32,0
2017-06-05,19,9
2017-06-06,17,3
2017-06-07,18,0
2017-06-08,13,0
2017-06-09,19,3
2017-06-10,13,0
2017-06-11,9,3
2017-06-12,10,0
2017-06-13,23,0
2017-06-14,12,0
2017-06-15,13,0
2017-06-16,11,6
2017-06-17,6,3
2017-06-18,19,3
2017-06-19,13,0
2017-06-20,14,0
2017-06-21,13,0
2017-06-22,23,0
2017-06-23,21,0
2017-06-24,10,0
2017-06-25,16,0
2017-06-26,17,0
2017-06-27,17,0
2017-06-28,13,0
2017-06-29,10,6
2017-06-30,12,0
2017-07-01,20,0
2017-07-02,20,3
2017-07-03,14,3
2017-07-04,11,0
2017-07-05,17,0
2017-07-06,18,0
2017-07-07,6,0
2017-07-08,22,0
2017-07-09,11,0
2017-07-10,26,3
2017-07-11,14,0
2017-07-12,19,0
2017-07-13,15,0
2017-07-14,14,0
2017-07-15,16,3
2017-07-16,24,0
2017-07-17,11,0
2017-07-18,11,3
2017-07-19,10,0
2017-07-20,18,3
2017-07-21,16,0
2017-07-22,17,3
2017-07-23,10,0
2017-07-24,11,0
2017-07-25,11,0
2017-07-26,16,0
2017-07-27,13,0
2017-07-28,12,0
2017-07-29,17,0
2017-07-30,14,0
2017-07-31,18,0
